2MASS_ID l b Ks0 J-Ks0 rv rv_err S/N EW1 EW2
2314262+412531 104.05 -17.86 11.8 0.99 -157.4  3.4 30 1.2  1.5
2314377+440800 105.16 -15.37 10.2 1.05 -180.8  4.8 13 0.4  0.8
2314420+371133 102.36 -21.78 10.4 1.04 -172.6  2.5 27 1.0  1.1
2317414+311304 100.38 -27.52 10.7 1.00  -84.5  2.1 28 0.5  0.8
2318119+435650 105.71 -15.78 10.3 1.04 -196.3  5.5 18 0.5  0.8
2318337+343707 102.05 -24.46  9.9 1.12 -203.9  2.3 33 0.9  1.0
2318590+372440 103.29 -21.91 11.2 0.96 -143.9  2.1 24 0.5  0.8
2332500+404525 107.23 -19.71 11.1 1.06 -170.9  3.3 34 0.9  1.0
2333505+450925 108.86 -15.58 11.4 0.90 -138.8  3.7 32 0.7  0.8
2337246+395922 107.86 -20.71 11.8 0.98 -172.6  5.3 16 0.7  1.0
2338336+400047 108.09 -20.75 10.6 1.04 -145.8  2.4 25 1.3  1.4
2345376+352056 108.09 -25.62 11.7 0.98 -142.7  2.4 42 1.1  1.1
2346094+455731 111.24 -15.43 11.9 0.91 -156.6  3.6 39 1.0  1.1
2348498+454925 111.67 -15.67  9.8 1.10 -112.0  3.3 22 1.0  1.5
2349423+300654 107.37 -30.88 11.8 0.95 -187.2  3.4 34 0.6  0.6
2355440+290121 108.52 -32.29 10.6 0.99 -148.9  3.7 24 1.0  1.2
2358446+355360 111.10 -25.76 10.8 1.03 -117.3  1.9 36 0.9  0.9
2358463+120822 103.21 -48.71 11.5 0.91  -83.0  3.8 31 0.8  0.9
