2MASS_ID,l,b,Ks0,J-Ks0,rv,rv_err,S/N,EW1,EW2,ra,dec
0242433+283308,150.67,-28.26,10.5,1.07,-65.7,1.8,28,1.0,1.3,40.68040712794295,28.552223908486116
0243131+332942,148.22,-23.83,9.5,1.14,-61.5,1.9,25,0.5,0.7,40.804573110146066,33.495001698915274
0248112+360447,147.92,-21.06,10.0,1.09,-54.1,1.9,27,0.7,0.9,42.046656080819155,36.07972404724522
0248197+380710,146.94,-19.24,11.6,0.93,-75.2,3.7,38,0.9,0.9,42.082072423820236,38.11944627305096
0252502+312423,151.27,-24.7,10.1,1.08,-54.9,3.7,25,0.7,0.8,43.20915678896898,31.406390831163794
0253000+375204,147.92,-19.03,11.4,0.99,-112.3,3.8,23,0.9,1.2,43.24998916140159,37.86777972415691
0254132+395433,147.12,-17.13,11.5,0.92,-81.0,3.8,42,0.7,0.8,43.55498883140184,39.90916864367075
0259473+374837,149.19,-18.43,11.0,0.94,-82.3,3.7,39,0.9,0.9,44.94707255068921,37.810279893836224
0300140+263657,155.57,-27.97,10.3,1.07,-87.8,1.6,19,1.7,1.7,45.05832411892316,26.615835460451727
0305474+271010,156.41,-26.83,11.3,0.91,-68.4,3.1,29,1.0,1.2,46.44749074374692,27.169446708977585
0306248+331250,152.94,-21.68,11.4,0.95,-125.6,3.7,27,1.2,1.3,46.60332328312217,33.213891168755296
0306391+252506,157.69,-28.18,11.7,0.96,-55.3,1.1,26,0.5,0.5,46.66290762899084,25.41833561905807
0307189+263423,157.09,-27.14,10.6,1.02,-95.2,2.5,16,0.7,0.8,46.828740825135874,26.57305785757212
0307331+350656,152.07,-19.94,10.1,1.08,-61.1,3.7,26,1.2,1.4,46.887906351250685,35.115557863380076
0311305+325132,154.11,-21.4,10.5,1.02,-119.6,3.6,28,0.9,1.0,47.87707336643189,32.85889129344413
0318211+315433,155.97,-21.38,11.3,0.92,-36.9,3.6,22,0.9,1.3,49.587906875777016,31.909169236816357
0319503+264652,159.51,-25.36,10.0,1.11,-83.5,1.8,27,0.8,0.7,49.95957420057966,26.781113716937174
2254402+421852,100.95,-15.52,11.0,0.94,-118.4,3.7,30,1.3,1.4,343.66748945667126,42.31444046420016
2311295+415714,103.74,-17.16,11.8,0.92,-204.0,3.7,30,0.9,1.0,347.8729059246389,41.95388525624112
2314133+332953,100.65,-25.13,10.9,0.96,-201.4,2.5,28,0.4,0.5,348.55540705176264,33.49805198121528
2314262+412531,104.05,-17.86,11.8,0.99,-157.4,3.4,30,1.2,1.5,348.60915596443436,41.42527420805108
2314377+440800,105.16,-15.37,10.2,1.05,-180.8,4.8,13,0.4,0.8,348.6570721962939,44.13332976772221
2314420+371133,102.36,-21.78,10.4,1.04,-172.6,2.5,27,1.0,1.1,348.67498990256985,37.19249643592842
2317414+311304,100.38,-27.52,10.7,1.0,-84.5,2.1,28,0.5,0.8,349.4224906269421,31.217774278244715
2318119+435650,105.71,-15.78,10.3,1.04,-196.3,5.5,18,0.5,0.8,349.54957217427807,43.94721873372088
2318337+343707,102.05,-24.46,9.9,1.12,-203.9,2.3,33,0.9,1.0,349.6404068655498,34.61860763050538
2318590+372440,103.29,-21.91,11.2,0.96,-143.9,2.1,24,0.5,0.8,349.74582315592505,37.41110763967951
2332500+404525,107.23,-19.71,11.1,1.06,-170.9,3.3,34,0.9,1.0,353.2083224990896,40.756941280692104
2333505+450925,108.86,-15.58,11.4,0.9,-138.8,3.7,32,0.7,0.8,353.4604050730451,45.15694130355721
2337246+395922,107.86,-20.71,11.8,0.98,-172.6,5.3,16,0.7,1.0,354.3524892334241,39.98944138495867
2338336+400047,108.09,-20.75,10.6,1.04,-145.8,2.4,25,1.3,1.4,354.63998921690353,40.01305252246275
2345376+352056,108.09,-25.62,11.7,0.98,-142.7,2.4,42,1.1,1.1,356.4066565046694,35.34888601963036
2346094+455731,111.24,-15.43,11.9,0.91,-156.6,3.6,39,1.0,1.1,356.53915475785305,45.958608254251985
2348498+454925,111.67,-15.67,9.8,1.1,-112.0,3.3,22,1.0,1.5,357.20748808336066,45.8236083170268
2349423+300654,107.37,-30.88,11.8,0.95,-187.2,3.4,34,0.6,0.6,357.4262405016883,30.114997226545423
2355440+290121,108.52,-32.29,10.6,0.99,-148.9,3.7,24,1.0,1.2,358.9333239319261,29.02249736975627
2358446+355360,111.1,-25.76,10.8,1.03,-117.3,1.9,36,0.9,0.9,359.6858229808719,35.89999744195004
2358463+120822,103.21,-48.71,11.5,0.91,-83.0,3.8,31,0.8,0.9,359.69290911945285,12.139441887076295
